,ModelName,IsPretrained,Purpose,ImagesCount,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
46,AttDs,pretrained,train,2943,0.0543780233711004,0.08851000778377052,0.15191761525600458,20,0.06448625028133384,0.2341602556407451,0.22395764077715374,20
47,AttDs,pretrained,train,3007,0.05389339290559285,0.08797031007707115,0.15589266113570793,20,0.0647783391177654,0.2357265941798687,0.22770688026098976,20
48,AttDs,pretrained,train,3071,0.05246127769351,0.08752818498760458,0.15723088363191143,20,0.06449770927429195,0.23341094646602864,0.2238920779471905,20
49,AttDs,pretrained,train,3135,0.0512343812733888,0.08572384044528003,0.15388002105829374,20,0.0602621268481016,0.22991827968508,0.22129665843503252,20
50,AttDs,pretrained,train,3199,0.0511832684278488,0.08579174205660814,0.15035826897886456,20,0.059822827577590845,0.23115907236933703,0.22371994923457714,20
51,AttDs,pretrained,train,3262,0.05213119648396965,0.08649603482335802,0.15146376457461572,20,0.06065929122269145,0.23400584738701577,0.22642109006988298,20
52,AttDs,pretrained,train,3326,0.0493510644882917,0.08439481034874913,0.15201260772031078,20,0.05965823307633395,0.2322896527126431,0.227121629883674,20
53,AttDs,pretrained,train,3390,0.047093808650970403,0.08340367861092086,0.15502255944158638,20,0.058388259261846445,0.23007138017565007,0.226197919756063,20
54,AttDs,pretrained,train,3454,0.0481103956699371,0.08328122906386849,0.15471445310495752,20,0.05856961198151105,0.23130648098886009,0.22782425563051054,20
55,AttDs,pretrained,train,3518,0.0478699188679456,0.08208498340100043,0.15337368332047466,20,0.05790797434747215,0.22694481983780856,0.2218348577622797,20
56,AttDs,pretrained,train,3582,0.04726854898035525,0.08404164090752599,0.15248129992768703,20,0.0561122111976146,0.23174347225576636,0.2294650148876938,20
