,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
16941,8891,DenseNet,non-pretrained,train,01,0.9458267539739609,0.3220003247261047
16942,8955,DenseNet,non-pretrained,train,01,0.9447830952703953,0.3231382966041565
16943,9019,DenseNet,non-pretrained,train,01,0.9422293268144131,0.3248917162418365
16944,9083,DenseNet,non-pretrained,train,01,0.9437810257077218,0.3239665329456329
16945,9147,DenseNet,non-pretrained,train,01,0.9434033036231995,0.3236036300659179
16946,9211,DenseNet,non-pretrained,train,01,0.9457883723080159,0.3219110071659088
16947,9275,DenseNet,non-pretrained,train,01,0.9387589693069458,0.3276324272155761
16948,9339,DenseNet,non-pretrained,train,01,0.9334131926298141,0.3301803767681122
16949,9403,DenseNet,non-pretrained,train,01,0.9394089207053185,0.325297474861145
16950,9467,DenseNet,non-pretrained,train,01,0.9334056973457336,0.3285137116909027
16951,9531,DenseNet,non-pretrained,train,01,0.9408415816724301,0.3262319564819336
16952,9595,DenseNet,non-pretrained,train,01,0.9420028105378151,0.3245995342731476
16953,9659,DenseNet,non-pretrained,train,01,0.9433955177664757,0.3234843909740448
16954,9723,DenseNet,non-pretrained,train,01,0.9375680349767209,0.3274450898170471
16955,9786,DenseNet,non-pretrained,train,01,0.9450768679380417,0.322483628988266
16956,9850,DenseNet,non-pretrained,train,01,0.9365254789590836,0.3269313871860504
16957,9914,DenseNet,non-pretrained,train,01,0.9429034665226937,0.3237770497798919
16958,9978,DenseNet,non-pretrained,train,01,0.9407650865614415,0.3241111636161804
16959,10042,DenseNet,non-pretrained,train,01,0.9450891800224782,0.3230200707912445
16960,10106,DenseNet,non-pretrained,train,01,0.9475797079503537,0.3213423490524292
16961,10170,DenseNet,non-pretrained,train,01,0.9451533183455468,0.3221020698547363
16962,10234,DenseNet,non-pretrained,train,01,0.9379741363227369,0.3254413306713104
16963,10298,DenseNet,non-pretrained,train,01,0.9475355036556721,0.3203228414058685
16964,10362,DenseNet,non-pretrained,train,01,0.9323371425271035,0.3285109400749206
16965,10426,DenseNet,non-pretrained,train,01,0.9474619962275029,0.3197221159934997
16966,10490,DenseNet,non-pretrained,train,01,0.9495448991656305,0.3183882534503937
16967,10554,DenseNet,non-pretrained,train,01,0.942203812301159,0.3233648240566253
16968,10618,DenseNet,non-pretrained,train,01,0.9422357268631459,0.3228648900985718
16969,10682,DenseNet,non-pretrained,train,01,0.9463637322187424,0.320759117603302
16970,10746,DenseNet,non-pretrained,train,01,0.9418924674391747,0.323259174823761
16971,10810,DenseNet,non-pretrained,train,01,0.9344809204339982,0.3274918794631958
16972,10874,DenseNet,non-pretrained,train,01,0.9366700798273087,0.3258593380451202
16973,10938,DenseNet,non-pretrained,train,01,0.9463007226586342,0.3197324872016907
16974,11002,DenseNet,non-pretrained,train,01,0.946109164506197,0.3206743896007538
16975,11066,DenseNet,non-pretrained,train,01,0.9542839638888836,0.3160159885883331
16976,11130,DenseNet,non-pretrained,train,01,0.948438748717308,0.3186072707176208
16977,11194,DenseNet,non-pretrained,train,01,0.9416321627795697,0.3219167292118072
16978,11258,DenseNet,non-pretrained,train,01,0.9430805295705796,0.3221240639686584
16979,11322,DenseNet,non-pretrained,train,01,0.942868921905756,0.3214068114757538
16980,11386,DenseNet,non-pretrained,train,01,0.937648106366396,0.3261168003082275
16981,11417,DenseNet,non-pretrained,train,01,0.9466903917491436,0.3211333751678467
16982,11449,DenseNet,non-pretrained,train,01,0.9380821138620377,0.325021743774414
16983,11513,DenseNet,non-pretrained,train,01,0.954562608152628,0.3149227797985077
16984,11577,DenseNet,non-pretrained,train,01,0.9317143112421036,0.3274915516376495
16985,11641,DenseNet,non-pretrained,train,01,0.9442636221647263,0.3217669427394867
16986,11705,DenseNet,non-pretrained,train,01,0.945140827447176,0.3210147023200989
16987,11769,DenseNet,non-pretrained,train,01,0.9450234323740005,0.3207395076751709
16988,11833,DenseNet,non-pretrained,train,01,0.9417402446269989,0.3225313425064087
16989,11897,DenseNet,non-pretrained,train,01,0.9473641067743303,0.3190129399299621
16990,11961,DenseNet,non-pretrained,train,01,0.945789035409689,0.3197856843471527
16991,12025,DenseNet,non-pretrained,train,01,0.9397605210542679,0.3238391876220703
16992,12089,DenseNet,non-pretrained,train,01,0.9438613876700402,0.3206112086772918
16993,12153,DenseNet,non-pretrained,train,01,0.9387326315045357,0.3242270350456238
16994,12217,DenseNet,non-pretrained,train,01,0.947289228439331,0.3188443779945373
16995,12281,DenseNet,non-pretrained,train,01,0.9478132650256157,0.3193165957927704
16996,12345,DenseNet,non-pretrained,train,01,0.9460319839417934,0.3194377720355987
16997,12409,DenseNet,non-pretrained,train,01,0.94785400852561,0.31783527135849
16998,12473,DenseNet,non-pretrained,train,01,0.9322148263454438,0.328456312417984
16999,12537,DenseNet,non-pretrained,train,01,0.9474905468523503,0.3188811242580414
17000,12601,DenseNet,non-pretrained,train,01,0.9452349580824376,0.3205632865428924
17001,12665,DenseNet,non-pretrained,train,01,0.9350475370883942,0.3259050548076629
17002,12729,DenseNet,non-pretrained,train,01,0.937015324831009,0.3257090449333191
17003,12793,DenseNet,non-pretrained,train,01,0.9503664337098598,0.3167790472507477
17004,12857,DenseNet,non-pretrained,train,01,0.9397264420986176,0.3234829604625702
17005,12921,DenseNet,non-pretrained,train,01,0.9474525041878223,0.3181139528751373
17006,12985,DenseNet,non-pretrained,train,01,0.948619294911623,0.3178832530975342
17007,13048,DenseNet,non-pretrained,train,01,0.9441596008837224,0.3196046352386474
17008,13112,DenseNet,non-pretrained,train,01,0.9463734477758408,0.3182600140571594
17009,13176,DenseNet,non-pretrained,train,01,0.9481165520846844,0.317745566368103
17010,13240,DenseNet,non-pretrained,train,01,0.9376650005578995,0.3242964446544647
17011,13304,DenseNet,non-pretrained,train,01,0.9412567541003228,0.3217296898365021
17012,13368,DenseNet,non-pretrained,train,01,0.9352588579058648,0.325517863035202
17013,13432,DenseNet,non-pretrained,train,01,0.9421195313334465,0.3210601806640625
17014,13496,DenseNet,non-pretrained,train,01,0.9475859999656678,0.3175604045391083
17015,13560,DenseNet,non-pretrained,train,01,0.9500960037112236,0.3168695867061615
17016,13624,DenseNet,non-pretrained,train,01,0.9495993629097939,0.3171425759792328
17017,13688,DenseNet,non-pretrained,train,01,0.9375103451311589,0.3245523571968078
17018,13752,DenseNet,non-pretrained,train,01,0.9389476403594017,0.3222807347774505
17019,13816,DenseNet,non-pretrained,train,01,0.9425954036414624,0.3203043043613434
17020,13880,DenseNet,non-pretrained,train,01,0.9479355216026307,0.3183624446392059
17021,13944,DenseNet,non-pretrained,train,01,0.951450526714325,0.3155794739723205
17022,14008,DenseNet,non-pretrained,train,01,0.9503492899239064,0.3155561089515686
17023,14072,DenseNet,non-pretrained,train,01,0.9423098638653756,0.3202939331531524
17024,14136,DenseNet,non-pretrained,train,01,0.943053837865591,0.319911241531372
17025,14200,DenseNet,non-pretrained,train,01,0.951715636998415,0.3159136772155761
17026,14264,DenseNet,non-pretrained,train,01,0.9509328529238701,0.3153727352619171
17027,14328,DenseNet,non-pretrained,train,01,0.9495942927896976,0.3159324824810028
17028,14392,DenseNet,non-pretrained,train,01,0.9389522708952427,0.3223482072353363
17029,14456,DenseNet,non-pretrained,train,01,0.941941175609827,0.3210533261299133
17030,14520,DenseNet,non-pretrained,train,01,0.9527152851223946,0.3142501413822174
17031,14584,DenseNet,non-pretrained,train,01,0.9401487745344639,0.3202739357948303
17032,14648,DenseNet,non-pretrained,train,01,0.9509299248456955,0.3155061900615692
17033,14679,DenseNet,non-pretrained,train,01,0.9386267624795437,0.3225365579128265
17034,14711,DenseNet,non-pretrained,train,01,0.9405809678137304,0.3207829892635345
17035,14775,DenseNet,non-pretrained,train,01,0.949027393013239,0.3164467513561249
17036,14839,DenseNet,non-pretrained,train,01,0.9490151889622211,0.3167137205600738
17037,14903,DenseNet,non-pretrained,train,01,0.9431166350841523,0.3199274837970733
17038,14967,DenseNet,non-pretrained,train,01,0.9469928927719594,0.3183052539825439
17039,15031,DenseNet,non-pretrained,train,01,0.9462100006639957,0.3181512355804443
17040,15095,DenseNet,non-pretrained,train,01,0.9454766511917115,0.3183383047580719
17041,15159,DenseNet,non-pretrained,train,01,0.940517745912075,0.3201617002487182
17042,15223,DenseNet,non-pretrained,train,01,0.9456718936562539,0.3187861144542694
17043,15287,DenseNet,non-pretrained,train,01,0.9422739557921886,0.320608913898468
17044,15351,DenseNet,non-pretrained,train,01,0.9521931856870652,0.3139447271823883
17045,15415,DenseNet,non-pretrained,train,01,0.9484759345650673,0.3164548873901367
17046,15479,DenseNet,non-pretrained,train,01,0.9489545933902264,0.3164578676223755
17047,15543,DenseNet,non-pretrained,train,01,0.9493394270539284,0.3160148561000824
